id,product,territory,title,headline,ratio,url,qa
GPS-001,Tracki Universal,Ownership,The car you love,For the car you'd go back for.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001517_1f577cca-2667-432f-bc09-6f0b36a9f155.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-002,Tracki Universal,Weekend,Sunday still yours,Keep the weekend yours.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001517_80fb2ed1-d7ed-49bc-9257-f431e1ae3850.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-003,Tracki Universal,Ownership,The garage ritual,One small part of looking after it.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001517_3bd7fbaf-99ad-4294-b6bd-16378231ac76.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-004,Tracki Universal,Everyday,Ready before the trip,Before you go. Know.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001518_ebe6d56c-8315-4390-ba0b-0d407a18142d.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-005,Tracki Universal,Education,Away from the crowd,Built for more than the last place it was seen.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001517_847db9b3-32db-424f-bcdb-00e0fe3ec6bb.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-006,Tracki Universal,Product,Small object big meaning,Small device. Bigger peace of mind.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001517_a465c91e-67d7-4d91-abd5-d3a5028d33e5.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-007,Tracki Universal,Business,The working trailer,Your equipment has somewhere to be.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001535_86aa97da-dfde-41b1-9127-071fac652794.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-008,Tracki Universal,Weekend,First light departure,More out there. Less checking.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001535_d6ba630f-0dc6-4b8f-9a40-11e2b510a1d4.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-009,Tracki Universal,Everyday,The driveway pause,A little more certain before you leave.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001535_d7cb0171-3a05-40d0-bf87-f065ffa085c7.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-010,Tracki Universal,Product,Precision closeup,Meet the small thing behind the big exhale.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001536_aadfc198-842b-4d55-8a48-dc1df8119ae3.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
GPS-011,Tracki Universal,Business,The little fleet,The day's work. Within reach.,4:5,https://d8j0ntlcm91z4.cloudfront.net/user_38T4RlRN8cgZrEnF4mWQOOHoUz7/hf_20260917_001536_979f018c-a69e-440a-bd50-e8dadbca24d8.png,Concept image; generated from supplied product reference. Final branding and physical proportions require review before campaign use.
